shiftId,time,from,to,routeShortName
1,3:35 PM,frankton,kelvin heights,6
1,3:50 PM,kelvin heights,frankton,6
1,4:05 PM,frankton,lakes hayes,12
1,4:20 PM,lakes hayes,frankton,12
1,4:35 PM,frankton,kelvin heights,6
1,4:50 PM,kelvin heights,frankton,6
1,5:05 PM,frankton,lakes hayes,12
1,5:20 PM,lakes hayes,frankton,12
1,5:35 PM,frankton,kelvin heights,6
1,5:50 PM,kelvin heights,frankton,6
1,6:05 PM,frankton,lakes hayes,10
1,6:35 PM,arrowtown,queenstown,8
1,7:05 PM,queenstown,arthurs point,8
1,7:35 PM,arrowtown,frankton,10
1,8:35 PM,frankton,arrowtown,10
1,9:05 PM,arrowtown,queenstown,8
1,9:35 PM,queenstown,arrowtown,8
1,10:05 PM,arrowtown,frankton,10
1,10:35 PM,frankton,queenstown,11
2,2:45 PM,frankton,queenstown,11
2,3:15 PM,queenstown,remarkables park,11
2,3:40 PM,remarkables park,queenstown,11
2,4:00 PM,queenstown,airport,11
2,4:33 PM,airport,queenstown,11
2,5:00 PM,queenstown,airport,11
2,5:30 PM,airport,queenstown,11
2,6:00 PM,queenstown,airport,11
2,6:25 PM,airport,frankton,11
2,7:05 PM,frankton,queenstown,11
2,7:35 PM,queenstown,fernhill,9
2,7:50 PM,fernhill,queenstown,9
2,8:05 PM,queenstown,airport,11
2,8:50 PM,queenstown,fernhill,9
2,9:35 PM,queenstown,airport,11
2,10:20 PM,queenstown,fernhill,9
2,10:35 PM,fernhill,queenstown,9
2,11:00 PM,queenstown,frankton,11
3,3:00 PM,frankton,queenstown,11
3,3:30 PM,queenstown,frankton,11
,,,,
3,4:15 PM,queenstown,airport,11
3,4:40 PM,airport,queenstown,11
3,5:15 PM,queenstown,airport,11
3,5:40 PM,airport,queenstown,11
3,6:20 PM,queenstown,airport,11
3,6:38 PM,airport,queenstown,11
3,7:35 PM,queenstown,airport,11
3,7:53 PM,airport,queenstown,11
3,8:20 PM,queenstown,fernhill,9
3,8:35 PM,fernhill,queenstown,9
3,9:05 PM,queenstown,airport,11
3,9:23 PM,airport,queenstown,11
3,9:50 PM,queenstown,fernhill,9
3,10:05 PM,fernhill,queenstown,9
3,10:20 PM,queenstown,remarkables park,11
5,2:45 PM,frankton,queenstown,11
5,3:00 PM,queenstown,frankton,11
5,3:30 PM,frankton,queenstown,11
5,3:45 PM,queenstown,airport,11
5,4:18 PM,airport,queenstown,11
,,,,
5,4:45 PM,queenstown,airport,11
5,5:18 PM,airport,queenstown,11
,,,,
5,5:45 PM,queenstown,airport,11
5,6:08 PM,airport,queenstown,11
,,,,
5,7:05 PM,queenstown,airport,11
,,,,
,,,,
5,7:50 PM,queenstown,fernhill,9
5,8:05 PM,fernhill,queenstown,9
5,8:35 PM,queenstown,airport,11
5,8:53 PM,airport,queenstown,11
6,6:50 AM,queenstown,fernhill,9
6,7:05 AM,fernhill,queenstown,9
6,7:20 AM,queenstown,airport,11
6,7:38 AM,airport,queenstown,11
6,8:05 AM,queenstown,airport,11
,,,,
6,8:50 AM,queenstown,fernhill,9
6,9:05 AM,fernhill,queenstown,9
6,9:45 AM,queenstown,fernhill,9
6,10:00 AM,fernhill,queenstown,9
6,10:15 AM,queenstown,fernhill,9
6,10:30 AM,fernhill,queenstown,9
6,10:45 AM,queenstown,fernhill,9
6,11:00 AM,fernhill,queenstown,9
6,11:15 AM,queenstown,fernhill,9
6,11:30 AM,fernhill,queenstown,9
6,11:45 AM,queenstown,fernhill,9
6,12:00 PM,fernhill,queenstown,9
6,12:15 PM,queenstown,fernhill,9
6,12:30 PM,fernhill,queenstown,9
6,12:45 PM,queenstown,fernhill,9
6,1:00 PM,fernhill,queenstown,9
6,1:15 PM,queenstown,remarkables park,11
6,1:40 PM,remarkables park,queenstown,11
,,,,
6,3:20 PM,arrowtown,frankton,10
6,4:20 PM,frankton,arrowtown,10
6,4:50 PM,arrowtown,queenstown,8
6,5:20 PM,queenstown,arrowtown,8
6,5:50 PM,arrowtown,queenstown,10
6,6:50 PM,queenstown,frankton,11
8,7:20 AM,frankton,queenstown,11
8,7:40 AM,queenstown,sunshine bay,9
8,8:05 AM,sunshine bay,queenstown,9
8,8:20 AM,queenstown,airport,11
,,,,11
8,9:00 AM,queenstown,airport,11
8,9:20 AM,airport,queenstown,11
8,9:45 AM,queenstown,remarkables park,11
8,10:10 AM,remarkables park,frankton,11
,,,,
8,10:45 AM,frankton,queenstown,11
8,11:15 AM,queenstown,airport,11
8,11:35 AM,airport,queenstown,11
8,12:00 PM,queenstown,remarkables park,11
8,12:25 PM,remarkables park,queenstown,11
8,12:45 PM,queenstown,airport,11
8,1:05 PM,airport,queenstown,11
8,1:30 PM,queenstown,airport,11
,,,,
8,2:15 PM,queenstown,airport,11
,,,,
8,3:00 PM,queenstown,remarkables park,11
8,3:25 PM,remarkables park,queenstown,11
8,3:45 PM,queenstown,airport,11
8,4:18 PM,airport,queenstown,11
8,4:45 PM,queenstown,airport,11
8,5:18 PM,airport,queenstown,11
,,,,
8,5:45 PM,queenstown,airport,11
8,6:15 PM,airport,queenstown,11
9,7:20 AM,lakes hayes est,frankton,12
9,7:35 AM,frankton,lakes hayes est,12
9,7:50 AM,lakes hayes est,frankton,12
9,8:05 AM,frankton,lakes hayes est,12
9,8:20 AM,lakes hayes est,frankton,12
9,8:35 AM,frankton,kelvin heights,6
9,8:50 AM,kelvin heights,frankton,6
9,9:35 AM,frankton,arrowtown,12
9,10:05 AM,arrowtown,queenstown,8
9,10:35 AM,queenstown,arrowtown,8
9,11:05 AM,arrowtown,frankton,10
9,11:35 AM,frankton,kelvin heights,6
9,11:50 AM,kelvin heights,frankton,6
9,12:05 PM,frankton,arrowtown,10
9,12:35 PM,arrowtown,queenstown,8
9,1:05 PM,queenstown,arrowtown,8
9,1:35 PM,arrowtown,frankton,10
9,2:05 PM,frankton,arrowtown,10
9,2:35 PM,arrowtown,frankton,10
9,,,,10
10,7:05 AM,frankton,queenstown,11
10,7:20 AM,queenstown,sunshine bay,9
10,,,,9
10,7:50 AM,queenstown,airport,11
10,,,,11
10,8:35 AM,queenstown,airport,11
,,,,
10,9:15 AM,queenstown,remarkables park,11
10,9:40 AM,remarkables park,queenstown,11
10,10:00 AM,queenstown,remarkables park,11
10,10:25 AM,remarkables park,queenstown,11
10,10:45 AM,queenstown,remarkables park,11
10,11:10 AM,remarkables park,frankton,11
,,,,
10,11:45 AM,frankton,remarkables park,11
10,12:15 PM,queenstown,remarkables park,11
10,12:40 PM,remarkables park,queenstown,11
10,1:00 PM,queenstown,remarkables park,11
10,1:25 PM,remarkables park,frankton,11
10,1:45 PM,queenstown,remarkables park,11
10,2:10 PM,remarkables park,queenstown,11
10,2:30 PM,queenstown,frankton,11
10,2:55 PM,,,11
11,6:35 AM,frankton,queenstown,11
11,6:50 AM,queenstown,frankton,11
11,7:20 AM,frankton,queenstown,11
11,7:35 AM,queenstown,airport,11
,,,,11
11,8:20 AM,queenstown,fernhill,9
11,8:35 AM,fernhill,queenstown,9
11,8:50 AM,queenstown,airport,11
,,,,11
11,9:30 AM,queenstown,frankton,11
11,9:45 AM,frankton,queenstown,11
11,10:15 AM,queenstown,remarkables park,11
11,10:40 AM,remarkables park,frankton,11
,,,,
11,11:15 AM,frankton,remarkables park,11
11,11:45 AM,queenstown,airport,11
11,12:10 PM,airport,queenstown,11
11,12:30 PM,queenstown,remarkables park,11
11,12:55 PM,remarkables park,queenstown,11
11,1:15 PM,queenstown,fernhill,9
11,1:30 PM,fernhill,queenstown,9
11,1:45 PM,queenstown,fernhill,9
11,2:00 PM,fernhill,queenstown,9
11,2:15 PM,queenstown,fernhill,9
11,2:30 PM,fernhill,queenstown,9
11,2:45 PM,queenstown,fernhill,9
11,4:00 PM,airport,queenstown,11
11,4:30 PM,queenstown,airport,11
,,,,
11,5:00 PM,airport,queenstown,11
11,5:30 PM,queenstown,remarkables park,11
12,6:57 AM,frankton,arrowtown,10
12,7:05 AM,arrowtown,queenstown,8
12,7:35 AM,queenstown,arrowtown,8
12,8:05 AM,arrowtown,queenstown,8
12,9:15 AM,queenstown,fernhill,9
12,9:30 AM,fernhill,queenstown,9
12,9:45 AM,queenstown,frankton,11
12,10:15 AM,frankton,queenstown,11
12,10:30 AM,queenstown,frankton,11
12,11:00 AM,queenstown,frankton,11
12,11:15 AM,frankton,queenstown,11
12,11:30 AM,queenstown,remarkables park,11
12,2:25 PM,remarkables park,queenstown,11
12,2:45 PM,queenstown,fernhill,9
12,3:00 PM,fernhill,queenstown,9
12,3:10 PM,queenstown,fernhill,9
12,3:20 PM,fernhill,queenstown,9
12,3:35 PM,queenstown,fernhill,9
12,3:50 PM,fernhill,queenstown,9
12,4:05 PM,queenstown,fernhill,9
12,4:20 PM,fernhill,queenstown,9
12,4:35 PM,queenstown,sunshine bay,9
12,4:47 PM,sunshine bay,queenstown,9
12,5:05 PM,queenstown,sunshine bay,9
12,5:17 PM,sunshine bay,queenstown,9
12,5:35 PM,queenstown,fernhill,9
12,5:50 PM,fernhill,queenstown,9
12,6:05 PM,queenstown,sunshine bay,9
12,6:17 PM,sunshine bay,queenstown,9
12,6:35 PM,queenstown,fernhill,9
12,6:50 PM,fernhill,queenstown,9
12,7:05 PM,queenstown,fernhill,9
12,7:20 PM,fernhill,queenstown,9
