shiftId,time,from,to,routeShortName
A-11-12-3,6:35 AM,frankton,queenstown,11
A-11-12-3,6:50 AM,queenstown,frankton,11
A-11-12-3,7:15 AM,frankton,queenstown,11
A-11-12-3,7:35 AM,queenstown,airport,11
A-11-12-3,8:00 AM,airpot,queenstown,11
A-11-12-3,8:20 AM,queenstown,fernhill,9
A-11-12-3,8:35 AM,fernhill,queenstown,9
A-11-12-3,8:50 AM,queenstown,airport,11
A-11-12-3,9:15 AM,airport,queenstown,11
A-11-12-3,9:30 AM,queenstown,remarkables park,11
A-11-12-3,9:55 AM,remarkables park,queenstown,11
A-11-12-3,10:15 AM,queenstown,remarkables park,11
A-11-12-3,10:40 AM,remarkables park,frankton,11
A-11-12-3,10:45 AM,frankton,queenstown,11
A-11-12-3,11:10 AM,queenstown,frankton,11
A-11-12-3,11:15 AM,frankton,remarkables park,11
A-11-12-3,11:25 AM,remarkables park,queenstown,11
A-11-12-3,11:45 AM,queenstown,airport,11
A-11-12-3,12:10 PM,airport,queenstown,11
A-11-12-3,12:30 PM,queenstown,remarkables park,11
A-11-12-3,12:55 PM,remarkables park,queenstown,11
A-11-12-3,1:15 PM,queenstown,fernhill,9
A-11-12-3,1:30 PM,fernhill,queenstown,9
A-11-12-3,1:45 PM,queenstown,fernhill,9
A-11-12-3,2:00 PM,fernhill,queenstown,9
A-11-12-3,2:15 PM,queenstown,fernhill,9
A-11-12-3,2:30 PM,fernhill,queenstown,9
A-11-12-3,2:40 PM,queenstown,frankton,11
A-11-12-3,3:00 PM,frankton,queenstown,11
A-11-12-3,3:25 PM,queenstown,frankton,11
A-11-12-3,3:45 PM,frankton,remarkables park,11
A-11-12-3,3:55 PM,remarkables park,queenstown,11
A-11-12-3,4:15 PM,queenstown,airport,11
A-11-12-3,4:40 PM,airport,queenstown,11
A-11-12-3,5:15 PM,queenstown,airport,11
A-11-12-3,5:40 PM,airport,queenstown,11
A-11-12-3,6:20 PM,queenstown,airport,11
A-11-12-3,6:45 PM,airport,queenstown,11
A-11-12-3,7:35 PM,queenstown,airport,11
A-11-12-3,8:00 PM,airport,queenstown,11
A-11-12-3,8:20 PM,queenstown,fernhill,9
A-11-12-3,8:50 PM,fernhill,queenstown,9
A-11-12-3,9:05 PM,queenstown,airport,11
A-11-12-3,9:30 PM,airport,queenstown,11
A-11-12-3,9:50 PM,queenstown,fernhill,9
A-11-12-3,10:05 PM,fernhill,queenstown,9
A-11-12-3,10:20 PM,queenstown,remarkables park,11
B-6-12-6-12,6:50 AM,queenstown,fernhill,9
B-6-12-6-12,7:05 AM,fernhill,queenstown,9
B-6-12-6-12,7:20 AM,queenstown,airport,11
B-6-12-6-12,7:45 AM,airport,queenstown,11
B-6-12-6-12,8:05 AM,queenstown,airport,11
B-6-12-6-12,8:30 AM,airport,queenstown,11
B-6-12-6-12,8:50 AM,queenstown,fernhill,9
